team1Name,team2Name,week,day,start,end,season,league,location
Ericbury Wildcats,Debraton Bulls,23,1,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Anitaberg Bobcats,23,1,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Coxfurt Pirates,23,2,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Deborahmouth Dolphins,23,2,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Jenniferborough Mavericks,23,3,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Potterberg Mavericks,23,3,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Rachel Jacks,23,4,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Joshuabury Pirates,23,4,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Cindy Bucaneers,23,5,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Paulfort Chargers,23,5,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Cindyfurt Hawks,23,6,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Anitaberg Bobcats,23,6,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Coxfurt Pirates,23,7,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,New Deborahmouth Dolphins,23,7,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Jenniferborough Mavericks,24,1,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Potterberg Mavericks,24,1,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,New Rachel Jacks,24,2,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Joshuabury Pirates,24,2,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,New Cindy Bucaneers,24,3,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,New Paulfort Chargers,24,3,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Cindyfurt Hawks,24,4,9,11,2024,Platinum League,Ashleytown Grounds Field #1
