team1Name,team2Name,week,day,start,end,season,league,location
Lake Wendy Robbers,Carterborough Robbers,31,1,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,Websterland Bulls,31,1,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,East Kathrynside Warriors,31,2,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,Port Cassandraport Bobcats,31,2,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,New Roymouth Bears,31,3,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,Brianton Raptors,31,3,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,North Tiffanychester Pirates,31,4,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,West Patricia Celtics,31,4,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,Martinhaven Commandos,31,5,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,South Paul Bears,31,5,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,West Jeffreyfurt Vikings,31,6,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,East Jose Eagles,31,6,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,North Rebeccaport Robbers,31,7,9,11,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,New Scott Mavericks,31,7,14,16,2024,Recreational,East Amyland Arena Field #1
Lake Wendy Robbers,Joshuaside Celtics,32,1,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,Websterland Bulls,32,1,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,East Kathrynside Warriors,32,2,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,Port Cassandraport Bobcats,32,2,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,New Roymouth Bears,32,3,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,Brianton Raptors,32,3,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,North Tiffanychester Pirates,32,4,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,West Patricia Celtics,32,4,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,Martinhaven Commandos,32,5,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,South Paul Bears,32,5,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,West Jeffreyfurt Vikings,32,6,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,East Jose Eagles,32,6,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,North Rebeccaport Robbers,32,7,9,11,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,New Scott Mavericks,32,7,14,16,2024,Recreational,East Amyland Arena Field #1
Carterborough Robbers,Joshuaside Celtics,33,1,9,11,2024,Recreational,East Amyland Arena Field #1
Websterland Bulls,East Kathrynside Warriors,33,1,14,16,2024,Recreational,East Amyland Arena Field #1
